[0] train-err:0.116080 train-nlik:0.484682 valid-err:0.113100 valid-nlik:0.480259 test-err:0.110800 test-nlik:0.459388
[1] train-err:0.075440 train-nlik:0.265795 valid-err:0.075900 valid-nlik:0.277034 test-err:0.072000 test-nlik:0.254420
[2] train-err:0.054080 train-nlik:0.184360 valid-err:0.055000 valid-nlik:0.200467 test-err:0.057000 test-nlik:0.192345
[3] train-err:0.080960 train-nlik:0.274901 valid-err:0.082500 valid-nlik:0.291973 test-err:0.080800 test-nlik:0.270228
[4] train-err:0.125640 train-nlik:0.407229 valid-err:0.125100 valid-nlik:0.410787 test-err:0.125600 test-nlik:0.408902
[5] train-err:0.149380 train-nlik:0.473312 valid-err:0.144000 valid-nlik:0.463036 test-err:0.148600 test-nlik:0.473542
[6] train-err:0.155640 train-nlik:0.506356 valid-err:0.151300 valid-nlik:0.496119 test-err:0.150700 test-nlik:0.491626
[7] train-err:0.195960 train-nlik:0.604822 valid-err:0.191900 valid-nlik:0.608035 test-err:0.188600 test-nlik:0.582302
[8] train-err:0.195960 train-nlik:0.640802 valid-err:0.199700 valid-nlik:0.627298 test-err:0.186500 test-nlik:0.621809
[9] train-err:0.229660 train-nlik:0.689357 valid-err:0.225200 valid-nlik:0.669927 test-err:0.221000 test-nlik:0.676616
[10] train-err:0.200840 train-nlik:0.640685 valid-err:0.199200 valid-nlik:0.629484 test-err:0.196100 test-nlik:0.628073
[11] train-err:0.258860 train-nlik:0.741795 valid-err:0.256000 valid-nlik:0.732552 test-err:0.255900 test-nlik:0.744376
[12] train-err:0.289400 train-nlik:0.863072 valid-err:0.285100 valid-nlik:0.849343 test-err:0.283500 test-nlik:0.844737
[13] train-err:0.256740 train-nlik:0.754751 valid-err:0.257600 valid-nlik:0.759823 test-err:0.257900 test-nlik:0.768059
[14] train-err:0.257440 train-nlik:0.788839 valid-err:0.255800 valid-nlik:0.787655 test-err:0.250500 test-nlik:0.784828
[15] train-err:0.215420 train-nlik:0.672887 valid-err:0.220200 valid-nlik:0.678238 test-err:0.209400 test-nlik:0.665781
[16] train-err:0.274460 train-nlik:0.822403 valid-err:0.277500 valid-nlik:0.818461 test-err:0.267300 test-nlik:0.808752
[17] train-err:0.200400 train-nlik:0.614473 valid-err:0.206000 valid-nlik:0.613881 test-err:0.189900 test-nlik:0.591172
