[0] train-err:0.116080 train-nlik:0.484682 valid-err:0.113100 valid-nlik:0.480259 test-err:0.110800 test-nlik:0.459388
[1] train-err:0.076520 train-nlik:0.269800 valid-err:0.077900 valid-nlik:0.281185 test-err:0.073100 test-nlik:0.259968
[2] train-err:0.057620 train-nlik:0.196627 valid-err:0.061200 valid-nlik:0.214121 test-err:0.059100 test-nlik:0.204638
[3] train-err:0.053640 train-nlik:0.174489 valid-err:0.055900 valid-nlik:0.198294 test-err:0.057400 test-nlik:0.188973
[4] train-err:0.048200 train-nlik:0.155730 valid-err:0.054400 valid-nlik:0.183845 test-err:0.052700 test-nlik:0.177340
[5] train-err:0.043120 train-nlik:0.142629 valid-err:0.047900 valid-nlik:0.172963 test-err:0.047800 test-nlik:0.159794
[6] train-err:0.039440 train-nlik:0.129974 valid-err:0.048900 valid-nlik:0.162542 test-err:0.045700 test-nlik:0.155485
[7] train-err:0.045720 train-nlik:0.142240 valid-err:0.052400 valid-nlik:0.186552 test-err:0.048000 test-nlik:0.158877
[8] train-err:0.037280 train-nlik:0.117526 valid-err:0.045000 valid-nlik:0.156464 test-err:0.042100 test-nlik:0.138899
[9] train-err:0.038940 train-nlik:0.124639 valid-err:0.049900 valid-nlik:0.165866 test-err:0.045500 test-nlik:0.143021
[10] train-err:0.035460 train-nlik:0.109882 valid-err:0.044600 valid-nlik:0.151385 test-err:0.042100 test-nlik:0.136570
[11] train-err:0.037820 train-nlik:0.112597 valid-err:0.045800 valid-nlik:0.151369 test-err:0.044100 test-nlik:0.148172
[12] train-err:0.036000 train-nlik:0.113347 valid-err:0.044900 valid-nlik:0.151319 test-err:0.043000 test-nlik:0.143665
[13] train-err:0.033120 train-nlik:0.101719 valid-err:0.042300 valid-nlik:0.147485 test-err:0.042700 test-nlik:0.136304
[14] train-err:0.036860 train-nlik:0.113018 valid-err:0.048400 valid-nlik:0.159360 test-err:0.043400 test-nlik:0.141945
[15] train-err:0.032620 train-nlik:0.100872 valid-err:0.043000 valid-nlik:0.148210 test-err:0.041200 test-nlik:0.131185
[16] train-err:0.033900 train-nlik:0.102763 valid-err:0.043200 valid-nlik:0.145762 test-err:0.040000 test-nlik:0.130735
[17] train-err:0.031940 train-nlik:0.097067 valid-err:0.040000 valid-nlik:0.136649 test-err:0.040200 test-nlik:0.129551
[18] train-err:0.027500 train-nlik:0.086492 valid-err:0.039600 valid-nlik:0.126050 test-err:0.039800 test-nlik:0.122078
[19] train-err:0.039140 train-nlik:0.123080 valid-err:0.052600 valid-nlik:0.168058 test-err:0.049400 test-nlik:0.160019
[20] train-err:0.030140 train-nlik:0.095222 valid-err:0.040800 valid-nlik:0.141924 test-err:0.039900 test-nlik:0.133031
[21] train-err:0.031560 train-nlik:0.093855 valid-err:0.042400 valid-nlik:0.143688 test-err:0.041000 test-nlik:0.134447
[22] train-err:0.028560 train-nlik:0.087184 valid-err:0.039200 valid-nlik:0.130224 test-err:0.038300 test-nlik:0.126968
[23] train-err:0.029440 train-nlik:0.087172 valid-err:0.041700 valid-nlik:0.139622 test-err:0.040900 test-nlik:0.126022
[24] train-err:0.029400 train-nlik:0.085998 valid-err:0.040800 valid-nlik:0.132655 test-err:0.038000 test-nlik:0.121649
[25] train-err:0.029700 train-nlik:0.090367 valid-err:0.042500 valid-nlik:0.141134 test-err:0.040600 test-nlik:0.129399
[26] train-err:0.026320 train-nlik:0.079548 valid-err:0.040200 valid-nlik:0.129200 test-err:0.035900 test-nlik:0.118435
[27] train-err:0.029700 train-nlik:0.088381 valid-err:0.042400 valid-nlik:0.139422 test-err:0.036000 test-nlik:0.126055
[28] train-err:0.029220 train-nlik:0.090062 valid-err:0.043800 valid-nlik:0.145007 test-err:0.038500 test-nlik:0.127797
[29] train-err:0.037240 train-nlik:0.111016 valid-err:0.052900 valid-nlik:0.171917 test-err:0.047000 test-nlik:0.152158
[30] train-err:0.032420 train-nlik:0.097141 valid-err:0.043700 valid-nlik:0.152977 test-err:0.039500 test-nlik:0.130410
[31] train-err:0.031580 train-nlik:0.096549 valid-err:0.045600 valid-nlik:0.154410 test-err:0.040900 test-nlik:0.136823
[32] train-err:0.032620 train-nlik:0.098969 valid-err:0.047400 valid-nlik:0.153246 test-err:0.043900 test-nlik:0.140833
[33] train-err:0.032420 train-nlik:0.099399 valid-err:0.046000 valid-nlik:0.150562 test-err:0.041900 test-nlik:0.129970
[34] train-err:0.026680 train-nlik:0.080534 valid-err:0.037900 valid-nlik:0.134399 test-err:0.039500 test-nlik:0.123247
[35] train-err:0.028840 train-nlik:0.089199 valid-err:0.042800 valid-nlik:0.144693 test-err:0.039200 test-nlik:0.130525
[36] train-err:0.028980 train-nlik:0.088939 valid-err:0.040800 valid-nlik:0.146313 test-err:0.038800 test-nlik:0.131119
[37] train-err:0.027740 train-nlik:0.083463 valid-err:0.041600 valid-nlik:0.135882 test-err:0.038400 test-nlik:0.131772
[38] train-err:0.032060 train-nlik:0.096288 valid-err:0.044600 valid-nlik:0.148184 test-err:0.042900 test-nlik:0.144842
[39] train-err:0.027640 train-nlik:0.084482 valid-err:0.038000 valid-nlik:0.133358 test-err:0.037200 test-nlik:0.127349
[40] train-err:0.025520 train-nlik:0.078401 valid-err:0.038100 valid-nlik:0.126044 test-err:0.039600 test-nlik:0.126999
[41] train-err:0.027440 train-nlik:0.082403 valid-err:0.041000 valid-nlik:0.137386 test-err:0.041000 test-nlik:0.133114
[42] train-err:0.030120 train-nlik:0.090776 valid-err:0.042600 valid-nlik:0.140337 test-err:0.043100 test-nlik:0.143331
[43] train-err:0.026640 train-nlik:0.084437 valid-err:0.039400 valid-nlik:0.134414 test-err:0.040400 test-nlik:0.132113
[44] train-err:0.023720 train-nlik:0.071969 valid-err:0.040200 valid-nlik:0.135829 test-err:0.035800 test-nlik:0.117365
[45] train-err:0.026420 train-nlik:0.079309 valid-err:0.039600 valid-nlik:0.140668 test-err:0.037400 test-nlik:0.124771
[46] train-err:0.031240 train-nlik:0.097927 valid-err:0.046100 valid-nlik:0.164112 test-err:0.044500 test-nlik:0.145030
[47] train-err:0.027900 train-nlik:0.085830 valid-err:0.042700 valid-nlik:0.148757 test-err:0.038600 test-nlik:0.135026
[48] train-err:0.024780 train-nlik:0.073426 valid-err:0.041300 valid-nlik:0.140087 test-err:0.036500 test-nlik:0.121263
[49] train-err:0.023040 train-nlik:0.068746 valid-err:0.039800 valid-nlik:0.135067 test-err:0.037900 test-nlik:0.122351
[50] train-err:0.024260 train-nlik:0.072794 valid-err:0.041400 valid-nlik:0.140378 test-err:0.037500 test-nlik:0.127796
[51] train-err:0.019080 train-nlik:0.062437 valid-err:0.036600 valid-nlik:0.121021 test-err:0.032500 test-nlik:0.107132
[52] train-err:0.018220 train-nlik:0.062482 valid-err:0.033700 valid-nlik:0.115250 test-err:0.031100 test-nlik:0.104168
[53] train-err:0.016820 train-nlik:0.060114 valid-err:0.031600 valid-nlik:0.108810 test-err:0.030000 test-nlik:0.099136
[54] train-err:0.015860 train-nlik:0.060147 valid-err:0.031100 valid-nlik:0.106464 test-err:0.028800 test-nlik:0.098212
[55] train-err:0.014520 train-nlik:0.058500 valid-err:0.029200 valid-nlik:0.103205 test-err:0.027300 test-nlik:0.095329
[56] train-err:0.014040 train-nlik:0.060054 valid-err:0.028800 valid-nlik:0.102882 test-err:0.025800 test-nlik:0.095525
[57] train-err:0.013720 train-nlik:0.059606 valid-err:0.028600 valid-nlik:0.100980 test-err:0.025400 test-nlik:0.093417
[58] train-err:0.012700 train-nlik:0.058343 valid-err:0.027200 valid-nlik:0.098761 test-err:0.024400 test-nlik:0.090617
[59] train-err:0.012480 train-nlik:0.057798 valid-err:0.027200 valid-nlik:0.097838 test-err:0.024500 test-nlik:0.089779
[60] train-err:0.012440 train-nlik:0.057542 valid-err:0.026600 valid-nlik:0.097680 test-err:0.024600 test-nlik:0.089292
[61] train-err:0.012380 train-nlik:0.057012 valid-err:0.026400 valid-nlik:0.096766 test-err:0.024500 test-nlik:0.088089
[62] train-err:0.012060 train-nlik:0.056767 valid-err:0.026300 valid-nlik:0.095921 test-err:0.024300 test-nlik:0.087127
[63] train-err:0.011800 train-nlik:0.056459 valid-err:0.026300 valid-nlik:0.095260 test-err:0.023900 test-nlik:0.086408
[64] train-err:0.011480 train-nlik:0.056433 valid-err:0.026000 valid-nlik:0.094743 test-err:0.023900 test-nlik:0.085697
[65] train-err:0.011340 train-nlik:0.056111 valid-err:0.026300 valid-nlik:0.094339 test-err:0.023500 test-nlik:0.084958
[66] train-err:0.010980 train-nlik:0.055588 valid-err:0.025800 valid-nlik:0.093837 test-err:0.022900 test-nlik:0.084165
[67] train-err:0.010820 train-nlik:0.055552 valid-err:0.025900 valid-nlik:0.093766 test-err:0.023000 test-nlik:0.084131
[68] train-err:0.010600 train-nlik:0.055140 valid-err:0.025500 valid-nlik:0.092990 test-err:0.022500 test-nlik:0.083442
[69] train-err:0.010240 train-nlik:0.055115 valid-err:0.025100 valid-nlik:0.092667 test-err:0.022400 test-nlik:0.082989
[70] train-err:0.010160 train-nlik:0.054728 valid-err:0.025200 valid-nlik:0.091995 test-err:0.022800 test-nlik:0.082611
[71] train-err:0.010160 train-nlik:0.054461 valid-err:0.024900 valid-nlik:0.091565 test-err:0.022500 test-nlik:0.082278
[72] train-err:0.009920 train-nlik:0.054067 valid-err:0.024900 valid-nlik:0.090886 test-err:0.022100 test-nlik:0.081849
[73] train-err:0.009680 train-nlik:0.053713 valid-err:0.024400 valid-nlik:0.090437 test-err:0.021800 test-nlik:0.081397
[74] train-err:0.009720 train-nlik:0.053415 valid-err:0.023900 valid-nlik:0.090259 test-err:0.022600 test-nlik:0.080992
[75] train-err:0.009620 train-nlik:0.053234 valid-err:0.023600 valid-nlik:0.090110 test-err:0.022200 test-nlik:0.080682
[76] train-err:0.009220 train-nlik:0.053163 valid-err:0.023500 valid-nlik:0.089853 test-err:0.022500 test-nlik:0.080610
[77] train-err:0.009380 train-nlik:0.052899 valid-err:0.023500 valid-nlik:0.089454 test-err:0.022800 test-nlik:0.080564
[78] train-err:0.009280 train-nlik:0.052813 valid-err:0.023600 valid-nlik:0.089258 test-err:0.022400 test-nlik:0.080446
[79] train-err:0.009120 train-nlik:0.052478 valid-err:0.023300 valid-nlik:0.088707 test-err:0.022800 test-nlik:0.080191
[80] train-err:0.008980 train-nlik:0.052355 valid-err:0.023500 valid-nlik:0.088308 test-err:0.023000 test-nlik:0.079977
[81] train-err:0.009020 train-nlik:0.052305 valid-err:0.023900 valid-nlik:0.088010 test-err:0.022500 test-nlik:0.079790
[82] train-err:0.009020 train-nlik:0.052179 valid-err:0.023600 valid-nlik:0.087650 test-err:0.022600 test-nlik:0.079743
[83] train-err:0.009080 train-nlik:0.052039 valid-err:0.023400 valid-nlik:0.087470 test-err:0.022200 test-nlik:0.079431
[84] train-err:0.008880 train-nlik:0.051729 valid-err:0.023300 valid-nlik:0.087301 test-err:0.022300 test-nlik:0.079026
