[0] train-err:0.747040 train-nlik:2.273274 valid-err:0.750500 valid-nlik:2.274111 test-err:0.749000 test-nlik:2.272428
[1] train-err:0.583580 train-nlik:2.041399 valid-err:0.586700 valid-nlik:2.042751 test-err:0.586900 test-nlik:2.037164
[2] train-err:0.371580 train-nlik:1.608773 valid-err:0.369700 valid-nlik:1.610243 test-err:0.365200 test-nlik:1.597294
[3] train-err:0.267860 train-nlik:1.252184 valid-err:0.266400 valid-nlik:1.251469 test-err:0.260000 test-nlik:1.236604
[4] train-err:0.213180 train-nlik:1.022697 valid-err:0.209400 valid-nlik:1.021048 test-err:0.207900 test-nlik:1.005496
[5] train-err:0.182220 train-nlik:0.869433 valid-err:0.180500 valid-nlik:0.866705 test-err:0.180600 test-nlik:0.851772
[6] train-err:0.161140 train-nlik:0.763864 valid-err:0.157400 valid-nlik:0.760059 test-err:0.156400 test-nlik:0.745435
[7] train-err:0.148340 train-nlik:0.685514 valid-err:0.143900 valid-nlik:0.681556 test-err:0.142300 test-nlik:0.667251
[8] train-err:0.139400 train-nlik:0.633169 valid-err:0.134800 valid-nlik:0.628509 test-err:0.130300 test-nlik:0.614169
[9] train-err:0.132520 train-nlik:0.591112 valid-err:0.130400 valid-nlik:0.586581 test-err:0.126300 test-nlik:0.571365
[10] train-err:0.124660 train-nlik:0.557245 valid-err:0.122300 valid-nlik:0.552431 test-err:0.118800 test-nlik:0.537910
[11] train-err:0.120220 train-nlik:0.530190 valid-err:0.116400 valid-nlik:0.524552 test-err:0.115200 test-nlik:0.510894
[12] train-err:0.117340 train-nlik:0.509101 valid-err:0.113600 valid-nlik:0.503769 test-err:0.112600 test-nlik:0.489961
[13] train-err:0.114600 train-nlik:0.488548 valid-err:0.110400 valid-nlik:0.483267 test-err:0.109400 test-nlik:0.469842
[14] train-err:0.111580 train-nlik:0.473077 valid-err:0.107800 valid-nlik:0.467795 test-err:0.107500 test-nlik:0.454928
[15] train-err:0.110620 train-nlik:0.459800 valid-err:0.105400 valid-nlik:0.454786 test-err:0.105200 test-nlik:0.442937
[16] train-err:0.108880 train-nlik:0.448705 valid-err:0.103500 valid-nlik:0.443392 test-err:0.104200 test-nlik:0.432247
[17] train-err:0.106920 train-nlik:0.438206 valid-err:0.102800 valid-nlik:0.434195 test-err:0.102800 test-nlik:0.422361
[18] train-err:0.105120 train-nlik:0.428580 valid-err:0.102400 valid-nlik:0.424937 test-err:0.100800 test-nlik:0.412641
[19] train-err:0.104420 train-nlik:0.420688 valid-err:0.101800 valid-nlik:0.417433 test-err:0.100800 test-nlik:0.405734
[20] train-err:0.104260 train-nlik:0.412395 valid-err:0.101700 valid-nlik:0.409110 test-err:0.099300 test-nlik:0.398227
[21] train-err:0.102960 train-nlik:0.407537 valid-err:0.099100 valid-nlik:0.403671 test-err:0.097000 test-nlik:0.393059
[22] train-err:0.101680 train-nlik:0.401055 valid-err:0.097000 valid-nlik:0.398224 test-err:0.097500 test-nlik:0.386723
[23] train-err:0.100040 train-nlik:0.395173 valid-err:0.096100 valid-nlik:0.392189 test-err:0.096500 test-nlik:0.380885
[24] train-err:0.099880 train-nlik:0.391711 valid-err:0.097600 valid-nlik:0.389231 test-err:0.096100 test-nlik:0.377729
[25] train-err:0.098720 train-nlik:0.386221 valid-err:0.097100 valid-nlik:0.384519 test-err:0.093900 test-nlik:0.373144
[26] train-err:0.097440 train-nlik:0.382887 valid-err:0.096600 valid-nlik:0.382059 test-err:0.094000 test-nlik:0.369664
[27] train-err:0.097800 train-nlik:0.378648 valid-err:0.097300 valid-nlik:0.377731 test-err:0.093600 test-nlik:0.365484
